key,value
"Destruction/Damage/Vandalism of Property",42432
"Weapon Law Violations",30822
"Simple Assault",19090
"Kidnapping/Abduction",10676
"Drug/Narcotic Violations",10674
"Burglary/Breaking & Entering",9724
"All Other Larceny",5707
"Drug Equipment Violations",4293
"Intimidation",3885
"Aggravated Assault",3699
"Motor Vehicle Theft",3148
"Robbery",2417
"Sodomy",2154
"Murder and Nonnegligent Manslaughter",2144
"Stolen Property Offenses",1868
"Shoplifting",1575
"Theft From Building",1482
"Theft from Motor Vehicle",1380
"Fondling",1257
"Bribery",1257
"Sexual Assault with an Object",857
"Pornography/Obscene Material",713
"Arson",707
"False Pretenses/Swindle/Confidence game",495
"Credit Card/Automated Teller Machine Fraud",406
"Impersonation",328
"Animal Cruelty",314
"Counterfeiting/Forgery",248
"Theft of Motor Vehicle Parts or Accessories",243
"Identity Theft",168
"Extortion/Blackmail",155
"Human Trafficking, Commercial Sex Acts",148
"Purse-snatching",140
"Pocket-Picking",110
"Statutory Rape",84
"Assisting or Promoting Prostitution",70
"Prostitution",69
"Negligent Manslaughter",59
"Embezzlement",31
"Wire Fraud",28
"Purchasing Prostitution",28
"Incest",27
"Human Trafficking, Involuntary Servitude",23
"Hacking/Computer Invasion",10
"Welfare Fraud",4
"Theft from Coin-operated Machine or Device",4
"Operating/Promoting/Assisting Gambling",3
"Gambling Equipment Violation",0
"Sports Tampering",0
"Betting/Wagering",0
