TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
R0201,0400000US01,Alabama,8,65.1,+/-0.2
R0201,0400000US02,Alaska,8,59.4,+/-0.4
R0201,0400000US04,Arizona,8,58.3,+/-0.3
R0201,0400000US05,Arkansas,8,69.9,+/-0.4
R0201,0400000US06,California,8,39.4,+/-0.1
R0201,0400000US08,Colorado,8,70.6,+/-0.3
R0201,0400000US09,Connecticut,8,65.3,+/-0.3
R0201,0400000US10,Delaware,8,60.8,+/-0.5
R0201,0400000US11,District of Columbia,8,37.9,+/-0.4
R0201,0400000US12,Florida,8,56.1,+/-0.2
R0201,0400000US13,Georgia,8,51.9,+/-0.2
R0201,0400000US15,Hawaii,8,22.2,+/-0.4
R0201,0400000US16,Idaho,8,81.4,+/-0.6
R0201,0400000US17,Illinois,8,61.3,+/-0.1
R0201,0400000US18,Indiana,8,78,+/-0.1
R0201,0400000US19,Iowa,8,84.5,+/-0.2
R0201,0400000US20,Kansas,8,76,+/-0.3
R0201,0400000US21,Kentucky,8,83.3,+/-0.1
R0201,0400000US22,Louisiana,8,57.9,+/-0.2
R0201,0400000US23,Maine,8,90.5,+/-0.4
R0201,0400000US24,Maryland,8,49,+/-0.2
R0201,0400000US25,Massachusetts,8,69.2,+/-0.2
R0201,0400000US26,Michigan,8,74,+/-0.1
R0201,0400000US27,Minnesota,8,77.7,+/-0.2
R0201,0400000US28,Mississippi,8,56.1,+/-0.2
R0201,0400000US29,Missouri,8,77.4,+/-0.2
R0201,0400000US30,Montana,8,85.1,+/-0.4
R0201,0400000US31,Nebraska,8,78.5,+/-0.3
R0201,0400000US32,Nevada,8,49.6,+/-0.4
R0201,0400000US33,New Hampshire,8,87.9,+/-0.4
R0201,0400000US34,New Jersey,8,54.6,+/-0.2
R0201,0400000US35,New Mexico,8,45.1,+/-0.7
R0201,0400000US36,New York,8,55.6,+/-0.1
R0201,0400000US37,North Carolina,8,62.4,+/-0.1
R0201,0400000US38,North Dakota,8,83.1,+/-0.3
R0201,0400000US39,Ohio,8,77.3,+/-0.1
R0201,0400000US40,Oklahoma,8,65.6,+/-0.2
R0201,0400000US41,Oregon,8,74.6,+/-0.2
R0201,0400000US42,Pennsylvania,8,74.9,+/-0.1
R0201,0400000US44,Rhode Island,8,70.8,+/-0.5
R0201,0400000US45,South Carolina,8,63.6,+/-0.2
R0201,0400000US46,South Dakota,8,80.7,+/-0.3
R0201,0400000US47,Tennessee,8,73.1,+/-0.2
R0201,0400000US48,Texas,8,47.9,+/-0.2
R0201,0400000US49,Utah,8,79.3,+/-0.3
R0201,0400000US50,Vermont,8,91.1,+/-0.4
R0201,0400000US51,Virginia,8,60.8,+/-0.2
R0201,0400000US53,Washington,8,66.4,+/-0.2
R0201,0400000US54,West Virginia,8,90.7,+/-0.2
R0201,0400000US55,Wisconsin,8,80.3,+/-0.2
R0201,0400000US56,Wyoming,8,84.6,+/-0.6
